ID,YEAR,MONTH,DOB,Gender,Marital_Status,Nbr_Children,Occupation,Home,Mo_Expenses,Mo_Income,Checking_Account,Savings_Account,Credit_limit,Account_Status,Mo_Balance
240,2007,12,19/05/1928,Male,Married,2,Administrative,Own,797,2658,No,Yes,low,Balanced,1861
243,2007,12,17/09/1923,Male,Married,1,Professional,Own,782,2235,No,Yes,mid-level,Balanced,1453
244,2007,12,19/02/1913,Male,Married,1,Professional,Own,1159,3862,No,Yes,very low,Balanced,2703
245,2007,12,19/12/1927,Female,Married,1,Manager,Own,1771,4427,No,Yes,mid-level,Balanced,2656
246,2007,12,19/11/1930,Male,Married,1,Manager,Own,1490,3726,No,Yes,high,Balanced,2236
247,2007,12,15/02/1919,Male,Married,2,Professional,Own,1238,4128,No,Yes,mid-level,Balanced,2890
248,2007,12,11/11/1915,Male,Married,1,Manager,Own,562,2081,Yes,Yes,mid-level,Balanced,1519
249,2007,12,09/12/1914,Male,Married,1,Professional,Own,948,3513,No,Yes,very low,Balanced,2565
250,2007,12,06/01/1915,Male,Married,1,Professional,Own,1400,4000,No,Yes,low,Balanced,2600
251,2007,12,16/03/1924,Male,Married,1,Professional,Own,1507,3768,No,Yes,high,Balanced,2261
252,2007,12,07/04/1916,Male,Married,2,Professional,Own,1131,2828,No,Yes,low,Balanced,1697
253,2007,12,11/09/1927,Male,Married,1,Administrative,Own,617,1543,No,Yes,high,Balanced,926
254,2007,12,09/11/1928,Male,Married,2,Professional,Own,1117,2792,No,Yes,low,Balanced,1675
255,2007,12,05/03/1927,Male,Married,2,Professional,Own,1523,3808,No,Yes,low,Balanced,2285
256,2007,12,09/07/1925,Male,Married,2,Professional,Own,845,3130,No,Yes,low,Balanced,2285
257,2007,12,25/09/1928,Male,Single,2,Professional,Own,426,1578,No,Yes,high,Balanced,1152
258,2007,12,09/01/1925,Male,Married,3,Professional,Own,569,1896,No,Yes,very low,Balanced,1327
260,2007,12,18/02/1914,Female,Single,1,Administrative,Own,455,1517,No,Yes,high,Balanced,1062
261,2007,12,11/10/1918,Male,Married,2,Professional,Own,1100,4399,No,Yes,very low,Balanced,3299
262,2007,12,24/02/1913,Male,Married,1,Professional,Rent,880,2933,No,Yes,low,Balanced,2053
263,2007,12,24/10/1921,Male,Married,1,Manager,Own,1095,4057,Yes,Yes,high,Balanced,2962
264,2007,12,02/04/1925,Male,Married,1,Administrative,Own,1244,3554,No,Yes,high,Balanced,2310
265,2007,12,08/08/1949,Male,Married,1,Professional,Own,961,3559,No,Yes,mid-level,Balanced,2598
266,2007,12,24/01/1949,Female,Married,2,Professional,Own,832,3081,No,Yes,mid-level,Balanced,2249
268,2007,12,19/04/1930,Male,Married,2,Professional,Own,965,3218,No,Yes,mid-level,Balanced,2253
269,2007,12,02/11/1919,Female,Married,2,Professional,Own,1097,4065,No,Yes,high,Balanced,2968
270,2007,12,04/06/1919,Male,Married,1,Administrative,Own,1321,3774,No,Yes,very low,Balanced,2453
271,2007,12,30/04/1932,Female,Married,2,Manager,Own,1029,3812,No,Yes,low,Balanced,2783
272,2007,12,01/08/1932,Male,Married,1,Skilled,Own,1016,3387,No,Yes,high,Balanced,2371
273,2007,12,01/07/1932,Male,Single,1,Professional,Own,781,2604,Yes,Yes,low,Balanced,1823
274,2007,12,23/07/1934,Male,Married,2,Professional,Own,954,2726,No,Yes,very low,Balanced,1772
275,2007,12,27/11/1934,Female,Married,2,Professional,Own,601,2004,No,Yes,high,Balanced,1403
276,2007,12,29/04/1935,Female,Married,1,Professional,Rent,1030,2942,No,Yes,low,Balanced,1912
277,2007,12,04/05/1917,Male,Married,2,Manager,Own,809,2997,No,Yes,low,Balanced,2188
278,2007,12,18/11/1918,Female,Married,1,Professional,Own,559,1398,No,Yes,very low,Balanced,839
279,2007,12,07/07/1916,Male,Married,1,Manager,Own,852,3155,No,Yes,mid-level,Balanced,2303
280,2007,12,28/10/1942,Male,Married,2,Professional,Own,868,2892,Yes,Yes,very low,Balanced,2024
281,2007,12,13/10/1942,Female,Married,2,Professional,Own,1020,3401,No,Yes,very low,Balanced,2381
282,2007,12,30/11/1942,Male,Married,1,Administrative,Own,930,3719,No,Yes,mid-level,Balanced,2789
283,2007,12,16/08/1935,Male,Married,2,Manager,Own,935,3463,No,Yes,low,Balanced,2528
284,2007,12,05/01/1935,Female,Widowed,1,Administrative,Own,454,1681,No,Yes,very low,Balanced,1227
285,2007,12,16/06/1935,Male,Married,2,Skilled,Own,415,1187,No,Yes,very low,Balanced,772
286,2007,12,23/04/1923,Female,Married,2,Administrative,Own,627,1567,Yes,Yes,low,Balanced,940
287,2007,12,24/02/1917,Male,Married,2,Professional,Own,426,1705,No,Yes,mid-level,Balanced,1279
289,2007,12,07/01/1937,Male,Married,2,Professional,Own,429,1588,No,Yes,low,Balanced,1159
291,2007,12,08/09/1937,Male,Married,2,Professional,Own,1260,3601,No,Yes,mid-level,Balanced,2341
292,2007,12,24/01/1917,Female,Married,2,Professional,Own,824,3053,No,Yes,high,Balanced,2229
294,2007,12,09/03/1923,Male,Married,2,Manager,Own,1216,4054,No,Yes,high,Balanced,2838
295,2007,12,11/01/1934,Male,Married,1,Professional,Own,1527,3819,No,Yes,low,Balanced,2292
296,2007,12,31/07/1934,Male,Married,1,Professional,Rent,1493,3734,No,Yes,very low,Balanced,2241
297,2007,12,09/02/1933,Male,Married,2,Professional,Own,914,2610,No,Yes,high,Balanced,1696
298,2007,12,14/12/1919,Male,Married,1,Skilled,Own,704,2346,No,Yes,high,Balanced,1642
299,2007,12,02/04/1915,Male,Married,2,Manager,Own,549,2034,No,Yes,very low,Balanced,1485
300,2007,12,15/05/1916,Male,Single,1,Manager,Own,673,2693,Yes,Yes,high,Balanced,2020
302,2007,12,30/09/1927,Male,Single,1,Administrative,Own,692,1730,Yes,Yes,high,Balanced,1038
303,2007,12,01/10/1929,Male,Widowed,1,Unskilled,Own,453,1294,No,Yes,mid-level,Balanced,841
305,2007,12,28/09/1937,Male,Married,2,Administrative,Own,917,3056,No,Yes,high,Balanced,2139
306,2007,12,22/04/1937,Male,Married,2,Manager,Own,971,3598,No,Yes,low,Balanced,2627
307,2007,12,05/05/1931,Female,Married,2,Administrative,Own,662,1655,No,Yes,high,Balanced,993
308,2007,12,02/01/1932,Male,Married,1,Administrative,Own,1270,3176,Yes,Yes,high,Balanced,1906
309,2007,12,02/04/1931,Male,Married,1,Professional,Own,1248,4161,Yes,Yes,mid-level,Balanced,2913
310,2007,12,03/01/1930,Male,Married,1,Manager,Own,1087,4027,Yes,Yes,very low,Balanced,2940
311,2007,12,03/10/1929,Female,Married,2,Professional,Own,1078,3994,No,Yes,mid-level,Balanced,2916
312,2007,12,30/03/1925,Male,Married,2,Administrative,Own,1376,3932,No,Yes,high,Balanced,2556
313,2007,12,24/09/1931,Male,Married,1,Manager,Own,1016,2904,Yes,Yes,mid-level,Balanced,1888
314,2007,12,04/08/1931,Male,Married,1,Manager,Own,1326,3789,No,Yes,low,Balanced,2463
315,2007,12,30/12/1922,Male,Married,2,Professional,Own,1472,4206,No,Yes,high,Balanced,2734
316,2007,12,17/02/1913,Female,Married,1,Professional,Own,998,3327,No,Yes,high,Balanced,2329
317,2007,12,17/01/1928,Female,Married,2,Professional,Own,671,2237,No,Yes,very low,Balanced,1566
320,2007,12,02/06/1924,Female,Married,1,Professional,Own,1336,3816,No,Yes,low,Balanced,2480
321,2007,12,05/05/1924,Male,Married,2,Professional,Own,1441,3604,No,Yes,mid-level,Balanced,2163
322,2007,12,08/12/1916,Female,Married,2,Professional,Own,1187,3391,Yes,Yes,very low,Balanced,2204
323,2007,12,09/03/1916,Female,Married,2,Professional,Own,701,2804,Yes,Yes,very low,Balanced,2103
324,2007,12,16/04/1913,Male,Married,2,Administrative,Own,1248,4161,No,Yes,very low,Balanced,2913
325,2007,12,16/04/1923,Male,Single,1,Professional,Own,1063,4254,No,Yes,high,Balanced,3191
326,2007,12,16/02/1922,Male,Single,1,Administrative,Own,860,2868,Yes,Yes,mid-level,Balanced,2008
327,2007,12,15/09/1922,Male,Married,2,Administrative,Own,543,2010,No,Yes,very low,Balanced,1467
328,2007,12,16/01/1918,Male,Married,2,Professional,Own,1547,3867,No,Yes,high,Balanced,2320
329,2007,12,17/05/1914,Female,Married,1,Professional,Rent,1457,3643,No,Yes,very low,Balanced,2186
331,2007,12,05/04/1958,Female,Married,2,Professional,Own,897,3323,No,Yes,high,Balanced,2426
332,2007,12,10/02/1957,Male,Married,1,Professional,Own,1521,4347,No,Yes,low,Balanced,2826
334,2007,12,19/01/1921,Male,Married,1,Professional,Own,1310,3744,No,Yes,mid-level,Balanced,2434
335,2007,12,12/12/1919,Male,Married,1,Manager,Own,908,3364,No,Yes,low,Balanced,2456
336,2007,12,11/10/1919,Male,Married,2,Professional,Own,974,3248,No,Yes,mid-level,Balanced,2274
337,2007,12,12/02/1919,Male,Married,2,Administrative,Own,882,3266,No,Yes,high,Balanced,2384
338,2007,12,19/11/1925,Female,Married,1,Professional,Own,895,2559,No,Yes,low,Balanced,1664
339,2007,12,02/08/1919,Male,Married,3,Professional,Own,812,2705,No,Yes,low,Balanced,1893
340,2007,12,21/07/1925,Male,Married,2,Administrative,Own,552,1578,Yes,Yes,mid-level,Balanced,1026
341,2007,12,08/08/1919,Male,Married,2,Administrative,Own,500,1998,No,Yes,very low,Balanced,1498
342,2007,12,19/08/1928,Male,Married,2,Manager,Own,449,1663,No,Yes,very low,Balanced,1214
343,2007,12,02/08/1916,Female,Married,1,Professional,Own,704,1760,No,Yes,high,Balanced,1056
344,2007,12,16/03/1917,Male,Married,1,Administrative,Own,716,1790,No,Yes,high,Balanced,1074
345,2007,12,01/02/1916,Male,Married,2,Skilled,Own,479,1917,No,Yes,mid-level,Balanced,1438
346,2007,12,08/09/1928,Male,Married,1,Professional,Own,540,1542,No,Yes,very low,Balanced,1002
347,2007,12,02/02/1928,Male,Married,1,Administrative,Own,351,1002,No,Yes,mid-level,Balanced,651
348,2007,12,09/06/1928,Female,Married,2,Professional,Own,289,1072,Yes,Yes,low,Balanced,783
350,2007,12,19/07/1918,Male,Single,1,Administrative,Own,449,1498,No,Yes,mid-level,Balanced,1049
351,2007,12,19/09/1914,Male,Married,2,Professional,Own,551,1838,No,Yes,low,Balanced,1287
352,2007,12,05/04/1962,Male,Married,1,Professional,Own,1521,4345,No,Yes,mid-level,Balanced,2824
353,2007,12,08/06/1961,Male,Married,2,Professional,Own,544,2178,No,Yes,low,Balanced,1634
354,2007,12,25/07/1961,Male,Married,2,Professional,Own,1029,2941,No,Yes,mid-level,Balanced,1912
355,2007,12,26/05/1919,Male,Married,1,Administrative,Own,1465,3662,Yes,Yes,high,Balanced,2197
356,2007,12,26/03/1915,Male,Married,2,Professional,Own,1188,3393,Yes,Yes,mid-level,Balanced,2205
357,2007,12,25/04/1930,Female,Married,1,Manager,Own,1067,3049,Yes,Yes,very low,Balanced,1982
358,2007,12,19/09/1933,Male,Married,1,Manager,Own,1343,3838,No,Yes,high,Balanced,2495
359,2007,12,21/11/1933,Male,Married,2,Administrative,Own,911,3373,No,Yes,high,Balanced,2462
360,2007,12,24/08/1933,Female,Married,2,Professional,Own,1234,3086,No,Yes,high,Balanced,1852
361,2007,12,19/12/1924,Male,Married,2,Manager,Own,1216,3474,No,Yes,high,Balanced,2258
362,2007,12,06/07/1918,Male,Married,2,Administrative,Own,955,3538,No,Yes,very low,Balanced,2583
363,2007,12,10/05/1921,Male,Married,1,Administrative,Own,1085,3616,No,Yes,high,Balanced,2531
365,2007,12,16/07/1929,Male,Married,2,Professional,Own,1268,3624,No,Yes,low,Balanced,2356
366,2007,12,07/04/1916,Male,Married,2,Administrative,Rent,579,2145,Yes,Yes,mid-level,Balanced,1566
367,2007,12,05/01/1927,Male,Married,1,Professional,Own,559,1863,Yes,Yes,low,Balanced,1304
368,2007,12,05/07/1927,Male,Married,1,Professional,Own,469,1737,No,Yes,low,Balanced,1268
369,2007,12,28/03/1913,Male,Married,1,Professional,Own,419,1551,No,Yes,very low,Balanced,1132
370,2007,12,12/06/1921,Female,Married,2,Professional,Own,615,1759,No,Yes,very low,Balanced,1144
373,2007,12,11/08/1934,Female,Married,2,Skilled,Own,382,1274,No,Yes,mid-level,Balanced,892
374,2007,12,11/07/1934,Male,Single,2,Professional,Own,1274,4247,No,Yes,low,Balanced,2973
375,2007,12,23/12/1934,Male,Married,1,Professional,Own,1120,2801,No,Yes,low,Balanced,1681
376,2007,12,19/05/1917,Male,Married,2,Professional,Own,973,2780,No,Yes,mid-level,Balanced,1807
377,2007,12,08/05/1919,Female,Married,2,Unskilled,Own,438,1624,No,Yes,low,Balanced,1186
378,2007,12,19/01/1922,Male,Single,1,Administrative,Own,460,1703,No,Yes,very low,Balanced,1243
379,2007,12,19/08/1947,Female,Married,1,Administrative,Own,1343,3357,No,Yes,mid-level,Balanced,2014
383,2007,12,21/11/1913,Male,Married,1,Professional,Own,1478,4224,No,Yes,very low,Balanced,2746
385,2007,12,12/08/1915,Male,Married,2,Professional,Own,485,1616,No,Yes,low,Balanced,1131
386,2007,12,09/06/1914,Female,Married,2,Manager,Own,530,1768,No,Yes,very low,Balanced,1238
387,2007,12,11/07/1913,Male,Married,2,Professional,Own,1151,3835,No,Yes,high,Balanced,2684
388,2007,12,01/08/1915,Female,Married,2,Professional,Rent,1444,4126,No,Yes,high,Balanced,2682
389,2007,12,13/03/1916,Male,Married,1,Professional,Own,1770,4424,No,Yes,low,Balanced,2654
390,2007,12,15/12/1913,Male,Married,1,Professional,Own,1515,3787,No,Yes,high,Balanced,2272
391,2007,12,21/06/1919,Male,Married,1,Manager,Own,848,3143,No,Yes,very low,Balanced,2295
392,2007,12,21/06/1926,Male,Married,2,Professional,Own,973,3605,No,Yes,mid-level,Balanced,2632
395,2007,12,28/08/1919,Male,Married,2,Professional,Own,845,3129,No,Yes,high,Balanced,2284
396,2007,12,10/08/1928,Female,Married,2,Administrative,Own,649,2162,No,Yes,low,Balanced,1513
397,2007,12,09/06/1918,Female,Married,2,Manager,Own,1042,2606,No,Yes,very low,Balanced,1564
398,2007,12,18/06/1929,Male,Single,1,Administrative,Own,1148,2869,No,Yes,high,Balanced,1721
400,2007,12,19/06/1929,Female,Married,2,Skilled,Own,825,2749,No,Yes,high,Balanced,1924
401,2007,12,19/08/1930,Male,Married,1,Professional,Own,744,1861,No,Yes,very low,Balanced,1117
402,2007,12,19/06/1913,Male,Widowed,1,Skilled,Own,501,1856,No,Yes,very low,Balanced,1355
404,2007,12,15/08/1919,Female,Married,1,Administrative,Own,750,1675,No,Yes,low,Balanced,925
406,2007,12,19/09/1918,Male,Married,2,Administrative,Own,474,1579,No,Yes,very low,Balanced,1105
407,2007,12,19/09/1919,Male,Married,1,Administrative,Own,543,1810,No,Yes,high,Balanced,1267
